WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q24,Q25,Q26,Q27,Q28,Q29_1,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q31_NPS_GROUP,Q31,Q33_1,Q33_2,Q33_3,Q33_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q17,Q9 - Parent Topics
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2016_TEXT""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2017_6""}","{""ImportId"":""QID2017_7""}","{""ImportId"":""QID2017_8""}","{""ImportId"":""QID2019_NPS_GROUP""}","{""ImportId"":""QID2019""}","{""ImportId"":""QID2021_1""}","{""ImportId"":""QID2021_2""}","{""ImportId"":""QID2021_3""}","{""ImportId"":""QID2021_4""}",,,,,,,"{""ImportId"":""QID2005""}","{""ImportId"":""QID8_TEXT_98d09e12885144e18ddbbbc2ParTopics""}"
5,10/11/2020 15:12,10/11/2020 15:23,0,68.105.26.14,100,628,1,10/11/2020 15:23,R_cYYE7KJr9z8Kv6h,,,,,41.38439941,-81.70030212,anonymous,EN,1,2,2,3,3,cybersecurity,0,3,0,3,4,0,3,10,,,,,0.75,1,0.75,0.76,0.8,1,2,
5,10/11/2020 15:10,10/11/2020 15:24,0,70.171.42.254,100,801,1,10/11/2020 15:24,R_e3zb4sH20YbdAtj,,,,,29.613800048828125,-82.38600159,qr,EN,1,2,2,2,4,Computer Science,7,4,1,3,7,7,3,10,,,,,0.32,0.56,0.77,0.79,0.57,0.71,2,
5,10/11/2020 15:11,10/11/2020 15:29,0,97.102.238.140,100,1103,1,10/11/2020 15:29,R_2xQ3ZJGWYEaIPVY,,,,,28.0608062744140625,-80.67220306,anonymous,EN,1,2,3,1,3,Computer Science,,3,0,2,7,7,3,10,,,,,0.7,0.8,0.7,0.5,0.6,0.75,2,
5,10/11/2020 15:12,10/11/2020 15:30,0,128.194.2.77,100,1053,1,10/11/2020 15:30,R_9Yyb8IbWFLZykFj,,,,,30.5478057861328125,-96.27149963,anonymous,EN,1,2,1,2,1,Computer Engineering,5,4,1,3,0,7,3,10,,,,,1,1,1,1,1,1,2,
5,10/11/2020 16:02,10/11/2020 16:06,0,66.25.39.48,100,252,1,10/11/2020 16:06,R_2B5pavWZR2YXfMB,,,,,32.8755950927734375,-96.74949646,qr,EN,1,2,1,2,3,Computer Science,6,4,1,3,0,3,3,10,,,,,1,1,1,1,1,1,2,
5,10/11/2020 16:03,10/11/2020 16:07,0,173.174.197.218,100,245,1,10/11/2020 16:07,R_AuNKFeD9SEGkaWZ,,,,,29.702606201171875,-98.47589874,anonymous,EN,1,2,1,3,1,Computer Science,3,2,,5,0,3,2,8,,,,,0.6,0.1,0.21,0.44,0.8,1,2,
5,10/11/2020 16:02,10/11/2020 16:07,0,174.196.1.99,100,297,1,10/11/2020 16:07,R_3frABUdFhthiaLS,,,,,36.186798095703125,-86.50669861,qr,EN,1,2,2,4,1,Computer Science ,2,3,,5,7,7,3,10,,,,,0.45,0.74,1,0.61,0.38,0.99,2,
5,10/11/2020 16:03,10/11/2020 16:09,0,70.122.43.158,100,384,1,10/11/2020 16:09,R_3oC8czwHTytZbCF,,,,,29.6320953369140625,-98.7542038,anonymous,EN,1,2,1,1,3,Cyber Security ,1,1,1,4,5,7,2,8,,,,,0.81,0,0.83,0.86,0.92,0.83,2,
5,10/11/2020 16:04,10/11/2020 16:10,0,153.33.22.101,100,339,1,10/11/2020 16:10,R_2z7u7JbdAcs1GDr,,,,,29.5652008056640625,-98.61450195,anonymous,EN,1,1,1,4,4,Cyber Security,0,3,,4,7,3,2,7,,,,,0.81,0.49,0.77,0.81,0.6,1,2,
5,10/11/2020 16:02,10/11/2020 16:10,0,173.230.7.84,100,444,1,10/11/2020 16:10,R_3nq4fiylPm1BHux,,,,,40.44439697265625,-86.92559814,qr,EN,1,2,1,4,1,Cybersecurity,0,2,,4,7,7,3,10,,,,,0.72,0.6,0.9,0.75,1,1,2,
