WaveYear,ResponseId,Major
,"{""ImportId"":""_recordId""}","{""ImportId"":""QID2016_TEXT""}"
8,R_2faNs2HWhxLMs6d,Cybersecurity 
8,R_yNHpxWHYEKcZgWt,Computer Science
8,R_sRwUBlLDCBMNu0N,Computer Science
8,R_1BUTv5xf4iOnvHS,
8,R_2XilqxE9efRnL5X,Cybersecurity 
8,R_Zs0wzSvJslTayRz,Computer Science
8,R_sGO71qlmVj3c3br,Economics and Political Science 
8,R_10T2OSegTVGulSA,Information Technology
8,R_1ImItEIRMTBkiTI,Computer Science and Cyber Security 
8,R_1FtRjGl4iiBMb43,
8,R_1LB5WmmNl5zK3mg,IT
8,R_1rxGpqQUzUdYfPz,Computer Science: Cybersecurity 
8,R_1gzscTOCYgVaxdZ,CIS
8,R_3NRik6SxR2U8YLl,
8,R_NWL1sF8HOQC2MVz,Math
8,R_3iQl44nD7OjDQs2,
8,R_27UxR64wjeF8f3H,Cyber Security 
8,R_27D8Q4uIiMzWH4L,Computer Science
8,R_PU4Bo63hjMgs1S9,Cybersecurity
8,R_pt3lNYW9usrexlD,cybersec
8,R_264lDRrWOTf7eRA,Networks and Information Security engineering 
8,R_2zhw6px4kZH6VQS,Cyber Security
8,R_1JUvh10fxHorHT0,CS
8,R_2Ug3RgmD3l3iQ4L,Computer Science
8,R_3J8EsrbFVd6NADA,Computer Science: Cybersecurity
8,R_1OMRBoBSob6USXE,Cybersecurity
8,R_1LpXO33QAYaqMG4,Computer Information Systems
8,R_3sghib47c5h8xAX,Psychology 
8,R_25vgyhxb3hROPfQ,Cybersecurity 
8,R_Y6x88bGTNRtoNax,Computer Science
8,R_qUfRBdnohBoSUG5,CS
8,R_2uKEupcbK3TuLDz,
8,R_24jd2DbZwZuUMA1,Computing Security
8,R_1DZjGEhxX9ReygX,Computer Science
8,R_2xKtfwJnDe1PhBe,Symbolic Systems
8,R_3nUV8BK7gTFzlKr,Cybersecurity
8,R_31Tc68QDPndYF3T,CSEC
8,R_3MS7Y7h2ZMaY2n9,Computer Science
8,R_6RHZMK0efZ467lv,Cybersecurity 
8,R_TbgZnIAsxge98Dn,
8,R_1jj3jS07OpOHwMk,
8,R_37wmEEwZjs1L8t3,Computing security
8,R_PZgKo6hgX7amwOl,Computer Science
8,R_33yxb88IeCzZfvT,Cyber Studies
8,R_PzWaQaCnoDjVeSJ,Cybersecurity
8,R_2qaZH8uz5miX2PX,Computer Engineering
8,R_3s5FKyDP48eI9Mg,Computer Science
8,R_1DIK0eGkOfVVVkj,Computer Science
8,R_24CAgBbe2x3q9qg,Cybersecurity 
8,R_1OuBFVoDvSA09ax,Computing Security
8,R_2tJcm0nfeYUkQse,MS-CSEC
8,R_2y8VztLYIx40SOI,Computer Information Systems
8,R_23dIjfAjq72h8RT,Computer Sciences
8,R_1JDWKVQtIGRRtlV,
8,R_25zI186DoQTjb7C,Computer Science
8,R_0vcrfZPcVlT6rOp,
8,R_2ZHs4iiJ7HZ7TDL,Cybersecurity
8,R_De51dbV3DCZMBl7,Cyberaecurity
8,R_BwRyBNRiFemdJKN,Computer Information Systems
8,R_1H5z63vFrZamtop,Mechatronics and Robotics Engineering 
8,R_1LeCnMj6TwWQFks,"Cyber, comp sci"
8,R_1ibak5DewrJfac6,
8,R_3NQwK4XXVMSg43o,Cybersecurity 
8,R_1mtqpeVFNzf05AA,Computing Security 
8,R_2awAYvnkbaNqV8n,CS
8,R_3COUVUPmnDWl7Ew,Cyber Security
8,R_1GNAJcaQIzpYOZU,Networks and Information Security Engineering
8,R_8B0I5vTYXsP4jst,Computer science: cybersecurity 
8,R_8ihPmMRU6QzKmid,
8,R_2QRmAyPTb4FYDdu,Computer Science
8,R_1SUo7vtYVixZ8SB,Cybersecurity 
8,R_sXp0l7MLgYSOhe9,Electrical and Computer Engineering
8,R_3PXO4OlsyUZDokh,Computer Science
8,R_27HJdZQ8vMIhksD,Cybersecurity
8,R_6s1ZW2BjSJwxmfL,
8,R_1DTrvlEsE1MlN8h,Computer Science: Cyber Security
8,R_3PC5Sr0et99xlZz,
8,R_3n6gNHllhVeslHj,
8,R_egoJqRaDby5tWSt,
8,R_26c2ErWuOsX2mAZ,
8,R_2aE3NwwXx3SYU4J,
8,R_p5WQ47bKZ6ASNrz,
8,R_2rSfcyS52CtJahf,
8,R_2VfkBEFjOUneiG5,
8,R_2e3af0s4I8M8XfH,
8,R_3PT3KpQ85658xnd,Networks and Information Security Engineering 
