WaveYear,ResponseId,Major
,"{""ImportId"":""_recordId""}","{""ImportId"":""QID2016_TEXT""}"
9,R_5jfAr3trFbVzrCy,
9,R_1KuAY4LA0gzT0Uv,
9,R_6zVLxk9ePRhM7Qt,
9,R_3ElQ5coXuLajVzt,Life Science 
9,R_5NU6frxRUUV7dqF,Cyber Defense
9,R_1HI9bTJHfedFlZS,
9,R_1pR1cjQzguiP4OL,
9,R_5hFNqhRQp3xnW4E,Computer Science
9,R_6s1ki14dNFHDqHZ,Economics
9,R_60Yj34TePH0KWDL,
9,R_64jT7pl2BTkUTyL,Cybersecurity 
9,R_3P0SHGO2Ul6QE7f,Cyber Operations
9,R_6ELtCns1SqoygxZ,Computer science: cybersecurity
9,R_3BGsr6gSMa8NkuR,Cyber Studies
9,R_5eJ06itbvr5WDex,Computer Science
9,R_1kvQwt5mBPBmGwl,Computer Science
9,R_6vmTuStEz60TXu9,cyber
9,R_3ocrP47gDJTTZvP,Symbolic Systems
9,R_1Qth0o0IEkGqj5z,Cyber Operations
9,R_3zegvppU5a8OzND,Computer science
9,R_1yFdIHmOq8rogwh,Computer Science
9,R_6pGP166ZPtT5G7L,CS
9,R_3qDAFqZUGky3F5Y,Computer Science
9,R_5CdoZzrKQKrZE9U,CS
9,R_3S0p2Zo8ArX2X97,Cybersecurity 
9,R_6erFeoiC7n9hlZJ,
9,R_6O0kXyI5SaTL03f,Cybersecurity 
9,R_7OrWspvjWSrEl4X,Computer science 
9,R_7KkHKYBk00qvkPM,Cyber Security 
9,R_6dWv3PrBduTOjvu,Aerospace engineering
9,R_5ku2P6WYtIkye9z,Electrical and Computer Engineering
9,R_32FWEd9lmhW29Ct,Computer Science
9,R_72LKTmPtLTeg3Tp,Computer Sciences and Engineering
9,R_3QJGzFGnAjs9Yyo,Computer Science
9,R_7ZNuR8a7EWfQhjI,
9,R_3k0N8AgWV1R3lqm,
9,R_5UfpyRzF6MrXkyt,Computer Science
9,R_6YXoySXlYvkeeR3,Computer Science
9,R_7rMnYrVNi0GW7zb,CS
9,R_1fl7lLEgeHDamnd,Computer Science
9,R_5NWoVqreFfXeWK7,Software Engineering 
9,R_1fk2hQ9D43pznEE,"Computer Science, Math"
9,R_1YWWpQ0J6wKW95w,Psychology
9,R_1e46bMGsUCNMgbH,Computer Science
9,R_70BGwwNb7jhYkoE,
9,R_5IiM4mNqcXPspVK,Computer Information Systems
9,R_6EQgL7UqfC4GrzU,Software Engineering 
9,R_5fKq0xEJVyyZZ3r,CS
9,R_6Hpx82qWnEZcrst,Computer Science
9,R_38RKJgkuiZyISw8,Computer Science
9,R_5CZcN0hSvguUFod,Computer science/ cybersecurity
9,R_3FsdUL4dtnGPMIN,
9,R_7jGNZG8yYPKiCV2,CIS
9,R_6iViowjzQq3ghBC,Computer Science
9,R_7bFDj7R9o1OXezD,cs
9,R_3OOKzW5uIqkqU9P,cs
9,R_3DYnxouQsaIxGQJ,Computer Science
9,R_6sdozrykQXEvtU3,CS
9,R_3qqHltiKS7r395F,Cybersecurity
9,R_61n60VkWhzxYDFx,Computer Science 
9,R_17TgAHmeBinHogF,
9,R_7V3dD2vMwIZH0SY,
9,R_5jUaDfFYRA0CvD3,
9,R_5Pd745XN7iuRfRn,
9,R_3APAkIoP8RVLg1b,
9,R_3JYHERYgHmb0PkJ,
9,R_7QsIaiXvtllrVIQ,
9,R_3nOanwFfKDUc4nr,
9,R_1O1Ck0V0hjPfoXv,
9,R_52l0y6M5mVYRkdI,
9,R_1kiTx34CSaUio3T,IT
9,R_7D8pDFe8qSnosuj,Undergraduate studies
9,R_7HhsP6zxF1qTeJC,
9,R_5scwvMMMZaiK7mE,Computer Engineering
9,R_6e9Wx7gPja9J9WW,Cybersecurity
9,R_1FQ9VTlwqL0KCrM,
9,R_7hAceiZTFWyOrfp,Computer science 
9,R_7PL8nn7L8TUx88M,CS
9,R_7k3FY6L3xNMZhqV,Computer Science
9,R_3fkIHYe4AIw4It8,IT
9,R_3fBHY4KYMtEWTzr,
