ResponseId,Q3,Q5,Q6,Q7,Q8,Q9,Q11,Q12,Q15,Q16,Q30,Q9 - Topics
R_3gX93kKMW4Yn0Sz,We discovered an open VNC connection to a server running the Human Machine Interface application,We identified that the application was written in .NET and that it was sending GET requests to an API for the PLC,We conducted a packet capture to data on the system and began searching through the source code of the application,"Explore the controls of the HMI, attempt to modify the executable, or interecept data coming from the PLC","We determined from the source code after analyzing the a copy of the application on a seperate machine that interfacing with the application would not alter the configuration of the PLC, and it could only read data. This made it safe to proceed with testing that may alter application functions.","Based on the notes found in the readme, we decided to try and reverse engineer the application to find a vulnerability in the debug mode.",The target state of the system was to alter the HMI functionality through intercepting network requests or finding a flaw in the application in order to change what information was displayed,"Analysis of network and application functionality
Exploitation of vulnerabilities if found","Packet capture, reverse engineering",Analysed application software and packet captures ,1,Unknown
R_33y6Q9jRmS3GZoh,"We encountered a network filled with mainly PLC devices with port 502 (modbus) open. We focused our efforts on the two other hosts, as it is difficult to pentest legacy devices without knowing what processes they control.",We noticed that a Rocket team chat service was easily accesible for anyone who has internal access to the network. This could enable sensitive info to be disclosed to an attacker & also present an opening for croissant-themed social engineering attacks.,We judged correctly when a user eventually posted creds that could be leveraged to access a computer on the network.,"We had several tools open to use with trying creds against hosts in a computer environment, from trying to RDP into a computer to using crackmapexec for recon purposes.","We had to consider whether trying to bruteforce a password would result in an account lockout, thus hindering the operations for employees who needed readily available access to their systems.","We decided to first proceed slowly with a simple RDP connection, and enumerate for password policies before further proceeding.","The system we targeted appeared to be a Windows server that is still supported, which differs from another system hosting a website that appeared to be running Windows 2000.",We needed to determine whether this system could enable us to gain further access to pivoting towards other systems that could access more PLC devices.,We proceeded to discuss among team members about options.,The best action.,1,Unknown
R_2czHihMFuGQk8ex,Unauthenticated access to HMI controlling dam infrastructure,Observed that VNC access was not protected. Retrieved hash of local administrator password and discovered it was unset. Reviewed GUI options of HMI software. Reached out to IT dept of NGPEW to discuss implications and limits to further testing.,Observed network interactions with other nodes on corporate subnet. ,"Able to leverage lack of authentication for access to machine. Able to review control options for HMI program, extract installer script and binary of program for analysis.",Considered risk management frameworks for ICS/OT environment.,"Reached out to NGPEW, considered safe operating norms, interfering with present state of environment as little as possible and only with direct contact with NGPEW representatives.",Operation and continued service within tolerable risk threshold and operational safety and compliance.,Assessing state and security for vulnerable ICS endpoints. Performing network scans to review and enumerate access and network topology. Conducting tests to assess security weaknesses in real-life attack scenario.,Leveraging AD credentials. Assessing network access to ICS endpoints. Being ready to work directly with client in event that ICS devices were accessible.,Informed client of vulnerability. Analyzed program binary. Tested scope of HMI software. Evaluated access controls of local administrator account.,1,Unknown
R_25FpGuTmemRgoTu,"If I were to perform an actual penetration test, my skills rely more on OSINT, physical security, and social engineering. I would take the information about Tiny's golf game, bring croissants, and attempt entry into the building to drop a device to gain access. However, The fact that LinkedIn accounts were linked to the companies websites was printer picking for a social engineering ploy","It took us a little while to understand exactly what was needed. We new that without knowing the IP address, we couldn't help. We new to stop action right away. But we didn't understand to supply all IP addresses that were were working from right away. That was a good learn to walk away with. ","We new that what was missing from the equation was the IP address. We asked for the IP address to be supplied. When it wasn't, we supplied the IP addresses we were working with","Access to dam flow because it had no password, domain admin, we created persistent a new domain admin account for persistent threat. Submission ticket site vulnerabilities. Out of date cell phone and applications of high ranking individual. Password vulnerabilities",We didn't want to cause any damage to the network because of the critical infrastructure that it supported,Just by seeing what was available to us,Domain admin,"Since this was our team's first time out, we didn't really know what to plan for. We are just excited to get in and test out our skills","Recon, fingerprint, enumerate, exploit, establish persistence",Exactly all of those tasks,1,Unknown
R_2amHi9rIynJ1cnd,"The osint part of the test helped us develop a targeted wordlist to use on the active directory of the environment, allowing us to get valid credentials ","The environment was split into 2 sections, the industrial equipment and the internal infrastructure, the team was split to identify issues based on their skill set, I was on the internal infrastructure and I was able to identify issues with internal applications that led me to other attacks paths that chained together ",,,Any actions that could have had consequences were clearly noted to the company before proceeding with them,,,,,,1,
R_2sZlusCZ9uzxOYq,Weak Windows AD passwords,"Found weak passwords and validated credentials. Used scanning, tools, and internet research",Scanning and other security related tools,Logging in and getting more information to find more vulnerabilities,Internet research,Based on internet research and output from using tools,Keep the network operational but gain unauthorized access,"Windows AD, mobus, and websites","Scanning, tools, and internet research","Scanning, tools, and internet research",1,Unknown
R_31NsrhmKmJCXPO8,Lists of admins and users and passwords...,,,,,,,,,,1,
R_1gOLkQmlVwPQwAP,,,,,,,,,,,,
R_2sSa63pqHF8cZ7Y,I took down the website with a buffer overflow exploit because of outdated software.,,By trying to access the website.,Not much after it was down as we couldn't get access to the system to restart the website.,,,"Running, secure, and updated.",,,,1,
R_bK2JPUWl3OeggZb,Vulnerable system,"Problems show up, you deal with them","Know what to do, know when not to do it","Do nothing, do something","Waited for an email to tell us to stop, our role was to test the environment. The scope should have told us to be more careful around mission/life critical systems",Flipped a coin,,,,,1,Unknown
