ResponseId,Q3,Q5,Q6,Q7,Q8,Q9,Q11,Q12,Q15,Q16,Q30,Q9 - Topics
R_OBgEErBWaVG6npT,"We discovered PLCs listening on port 8080 using nmap, and accessed them using netcat. An attack on this system would be as simple as opening netcat and pressing 7 to reset the PLC firmware and delete all control logic on the PLC, causing dam failure... ask me how I know. After accidentally resetting the PLC, we contacted NGPEW through the ticketing system and were told not to worry about it.","Upon entering the PLC controls I immediately was able to tell this was completely insecure. The network the PLC was on was not isolated, the access to the PLC was discovered with a simple Nmap scan and accessed via netcat, it was unencrypted, and upon access, all its debug features were laid out on the table. Very simple to create a compromising situation here. I tried to understand how great the danger was by testing the options, expecting some sort of confirmation before executing a dangerous action, but certain options simply crashed the PLC or reset the firmware.","It was difficult to determine the state of the PLCs due to the low level nature of the information available. However, it was clear that the PLCs were running a program and under use, because querying the status of the PLC CPU registers showed that the values were changing every time, due to running some process control program. We were unable to tell that the PLCs were connected to the dam, just looking at the PLCs",Couldn't you have sent this survey out earlier today? We tried all the options and wrote about them in our report.,We tested them all. We should have asked before trying all the settings.,By typing the number and pressing enter. ,We crashed it. It got fixed by someone.,"I'm done answering questions, I'm here for the Q&A",,,2,Unknown
R_2VxehaVkqN016Jr,"One of the specific situation that was related with our team's ""attack"" was the SCADA system being disrupted due to our nmap scans. Our team was not able to find the specific flag of nmap (""-sC"" and ""-A"") was causing this problem. Unfortunately, most of the testers were sharing the same cheatsheet, which had those flags. Because of this, our team have brought down the SCADA system multiple times.","I've asked my teammates about specific commands they sent to the targeted systems. However, due to the fact that our team did not receive any information about 1. Which systems were being affected 2. When the incident happened 3. Why it happened, it was really hard to troubleshoot the situation. Our team was blindly troubleshooting while I was getting yelled at. ","As far as our team knows, we did not had the tools to determine the actual system state. There were HMI interface and public-facing PLC interfaces, but the point of contact calling had siren alert sound in the background ,which meant the actual system state was in danger. Also, after getting yelled at a couple of times, the team just decided to go fully hands-off, so we were even scared to touch anything related with SCADA (HMI, PLC_debug_1.0, modbus port 502)","As none of the team members were familiar with SCADA, the only option that we had to do was to go completely hands-off keyboard and block all interaction with the SCADA system. ","All of the consequences were the same, the point of contact was mad because our team brought down the SCADA system, I got yelled at, and all of the situation was very emotional. ",I do not have the answer as I do not have enough knowledge to troubleshoot SCADA system. ,"The target states of the system were systems being exploited, as long as the availability of the systems was not influenced. ",Enumeration on the target system and prior-research on the modbus/SCADA system. ,N/A ,Port scanning and Banner grabbing. Many hours in google researching for modbus protocol and SCADA systems. ,1,Unknown
R_1fkCCZDDpAiO3T1,"I liked gaining access to the rocket chat. I could’ve stayed there for weeks, no one noticing all the credentials I’d gather as they drop them in general. After using this info to crack accounts, things could go from there","I don’t know. I’m not a professional. I try things and see how they go. Ethical implications are mostly “did I break this?” I just kept going, screencapping, which slowed me down a bit",I guessed. Not a pro. I apologize,"The most exciting things I grabbed. I have a short attention span, I just run with it and record things",I’m not sure. Communication was especially tough being separated. I imagine we could’ve done more work to work together ,My buddies kept trying to get shell,"The rocket chat was open. It’s the kind of chat I’d make to host my Minecraft server for all my buddies to join. Only, this was the internals of a power company. Anyone could walk in with a smile and watch people and their intimate lives discuss passwords, ther lives, and the successes and failings of their society.","Taking screen shots. Writing up reports, asking how to fix these issues, and what kind of issue is actually at hand?",,,2,Unknown
R_2z6bIqSa1feVY0y,,,,,,,,,,,1,
R_24o1gSNt3fC7PNT,,,,,,,,,,,,
R_3CCmuOvO675XTgx,,,,,,,,,,,,
R_3HTc3tMP8ffS1EU,we found passwords on NGPEWs website,,,,,,,,,,1,
R_3MKCu9pMHfuix47,,,,,,,,,,,1,
R_2Et9UBsOVRnSbKs,,,,,,,,,,,1,
R_1QaqWiObW5a1fNt,The network was very insecure lacking any proper segmentation and useful firewall rules.,,By seeing how easy to was to communicate to different devices,RDP WINRM VNC HTTP,By seeing how fruitful the path was,,,,,,1,
R_pGAx7Y20qwlkWCB,,,,,,,,,,,1,
R_1OUcyezts6bb2bi,,,,,,,,,,,1,
R_SHQOc9fYnM6PWx3,I found that the httpd version used on a specific Linux target had a CVE associated with it,It was unclear whether exploiting the vulnerability I had found would lead to disruption of services.,,Exploit or don't exploit ( I didn't get further than this because the exploit did not succeed),,,,,,,3,
R_3ozi5zjstGKx8n8,,,,,,,,,,,,
R_1Zi3gu96EDjQ4b7,,,,,,,,,,,,
R_1hGwfsUpfX7tdqK,,,,,,,,,,,,
R_3fZvLUoe948IZ9k,,,,,,,,,,,,
R_2Y56SzFz7nvc9oG,,,,,,,,,,,1,
R_2S9qNjfnHBqDDSs,,,,,,,,,,,,
R_1MRFZ0FxXn4WGVX,,,,,,,,,,,,
R_3kozwUTz9fZOsXz,,,,,,,,,,,,
R_WcVThb7uCx8bYwV,We accidentally DOSed the PLCs because we were port scanning,,,,,,,,,,2,
R_2zj268WhQyBNw9C,,,,,,,,,,,,
R_1irgNXAQAFBH3co,,,,,,,,,,,1,
R_uvTf55LH8FXunJf,The Mantis bug tracker was out of date.,,,,,,,,,,2,
R_3gT9WGZd4PtW8ym,,,,,,,,,,,1,
R_31EM7tJjhKCi6Je,disputed charges,,,,,,,,,,1,
R_tL4QttIyotKt6sV,,,,,,,,,,,2,
R_2UbzSJdeIIP2BSF,,,,,,,,,,,2,
R_32LvpkBXbyZdDcO,Sharing of DA account in the rocket chat web app. That alone is a compromise to the entire company,The observations made include the Domain Admin openly sharing his account along with plain text passwords. Other employees also discussed potential exploits regarding the ticketing system. ,I RDP’d into the Domain Controller ,"Re-enable NLA to prevent unauthorized RDP sessions. Re-enable firewall and AV, and also patch the system",,,,,,,1,
R_AmkIrqNhR3jTfXj,,,,,,,,,,,2,
R_1jH4XqajsGEKEOq,,,,,,,,,,,1,
R_3imqzgniA4ZBdsA,,,,,,,,,,,1,
R_3GCTXenXTwYJdtY,"Discovering the ThinVNC web client, I then knew that i was supposed to be used for connecting to a number of boxes. We gathered all VNC hosts and then discovered an unauthenticated VNC server consisting of the Water Control System HMI. ","Using enumeration and taking into account NERC CIP compliance. Also, having in mind that since this is an ICS network there would definitely be some low hanging fruits.",Taking into account the CIA triad and the nature of ICS networks.,We strictly performed tests in a manner that would not hinder the operations of the plant. ,By understanding the impact to NGPEW and its customers. ,Logic,,,,,1,Unknown
R_3ESa7QY3KjTLteO,Nmap scans from your team crashed the PLCs,From our initial scans we were able to map out the network environment and find points that could have a problem that could be exploited.,,,,,,,,,1,
R_3HUrSg2SRxnJz5Y,,,,,,,,,,,,
R_YSTLCvLdiO9c1Db,nmap scans of the 10.0.1.0/24 and 10.0.10.0/24 networks to determine network perimeter ,"Red flags such as cleartext passwords, no authentication mechansims when accessing sensitive services (i.e: chat and PowerGrid panel via VNC)",Computer Network background and familiarity with common security mechanisms (i.e: authenticating to any website to use a service),,,,,,,,2,
R_2xMqJUlmk3jFVUi,,,,,,,,,,,1,
R_1CqdG6cIig2yIYR,Directory traversal on a plc,Do not understand the question,stable,Continue,Checking with the team,Communication based on feedback from the team,Stable,"SCADA
Windows POST-exploitation
lfi
",not understanding questions,Did what it took with precuation,1,Unknown
R_3P4tDSOyBb44tM2,,,,,,,,,,,1,
R_2uI0kam6cLLsiEw,Employees freely sharing passwords in public chat.,Passwords were shared openly on a webchat without employees realising the consequences.,We tested the passwords and they worked,We could change the domain admin password or notify the client,Weighing the risk of a real intrusion from an evil actor,The risk for a real intrusion seemed high so we notified the client,Unsecure,"How to do the network scanning. Not to comprehensive as it takes way too much time, but not to shallow because then you miss things.",,,1,Unknown
R_3HzYtwiPP0w9I4j,The SCADA/ICS systems that needed testing - they're critical infrastructure so definitely don't want to knock them over inadvertantly,"Liasing with the PoC was the first response to it, and after that it was mostly scans with nmap to identify what we were up against",The tool output and what the PoC fed back,"We could do nothing, minimal scans or invasive scans",We informally talked about the risks in the team and dewcided on the best option together,"We went on a gut feeling to be honest, but the risk definitely played a big role in the final outcome","The target was to identify vulnerabilities in the network, on whatever machines were on there.",We had to plan for testing but also risk/impacts of our actions,We used security tools for the actual testing and attempted to escalate privileges as much as possible to get a better sense of the system,Active enumeration & after that exploitation. Not much post exploitation as we weren't that confident on an AD environment but we tried some stuff.,1,Unknown
R_3MRM8mRjygqmMne,there was an open access to an internal communication channel which included sensitive information,"we created a new account and read the company messages, tried to read about the situation in the company from the available materials (website, LinkedIn, etc.)",,"We had the passwords of several company accounts including the domain admin, which helped us to investigate more deeply security on different services when authenticated.",We tried to not leave any permanent damage on the system and to revert all exploited machines to their initial state.,We used the options that were non-destructing and easiest to execute.,A system with a key part of the network under the attackers' control.,An attack on the system with a stress on not disturbing the key infrastructure of the company,"Reconnaissance, exploitation, gathering of evidence, cleanup.","Scan the network, find the exploitable targets, exploit the targets, reset the targets to initial state, write up the security report",2,Unknown
R_1Q3ZAUjkOh3kWWO,We could use the domain admin password to access the Domain Controller,"We started analyzing and finding further issues, for example the unencrypted passwords on the DC users. We also tried to evaluate the impact of the situation.",By taking harmless actions to verify our acquired abilities.,We had full control of the system.,We analyzed the risk of impact to the system infrastructure and the company's operations.,We did not select an option we had a lot of other things to keep working on too.,Compromised but operational,"Communication with customer
OSINT and asset mapping
Service scanning
Vulnerability testing of identified services
Manual testing of assets and services
Reporting of issues",Centralized task distribution and communication. Custom training one week before the event.,Coordinated the team and performed some menial tasks so they could focus on the complex one and had the most learning opportunities.,1,Unknown
R_3Rr7VcI4s2gyTPU,,By scanning manually or automatically. FGooled possiblle uses(if i had no knowledge about it already),,"Leave it alone or try to work it, exploit the situation","How much was it part of the scope, if it was a fragile system",,The system under tester control was the aim,,,"gathered info, exploited the machines, got Kerberos Golden Ticket for example",1,
R_2CJ84058FtyzTgd,One machine had an open VNC connection that someone could connect to taht is inside of the network and shut of the dams.,We used scans to identify target points that we could check vulnerabilities in. We then went trough the target points and wrote down what types of vulnerabilities/findings we found in the different situations. To further understand the situation extensive testing were executed to that target or research were made by using google. (I have little to non experience of a SCADA environment),"By discussing with the group and tools for evaluations, such as cvss",We could discuss with the customers or write it in the final report that was handed in at the end of the day,"Again, we discussed as a group and used refernces about found vulenrabilities in different CVE databases, OWASP, Nist etc.",I'm sorry I dont understand this question,The target state of the systems were critical. Because ports were open all over the place and we were able to find weak links in the different networks that were provided. Default credentials were used in alot of places and unauthenticated services were found running in multiple places in the system.,"The task of writing the report. The task where we tried to access the ""domain controller"" of the network. We also planned for executing later stages tests on the PLC systems but we felt we were too inexperienced to commit.","Using scans, writing report templates etc.","Used scans, exploited vulnerabilities etc.",1,Unknown
R_BOZl5r3kkemyRBn,"On one of the hosts we found a redis server running. This was accessed through a netcat connection, and it became clear they required authentication. However, by looking up and trying the default credentials we managed to gain access.","To find the services running on the hosts we scanned them using Nmap. We looked deeper into anything that seemed different. Among these were the redis vulnerability. To understand the situation I googled redis systems and read up on them. Afterwards I connected to it, hoping that it would not require authentication at all. When it turned out that it needed authentication, I was ready to write a script for trying different credentials we had found in other systems. However, before I did so I remember having read about the default credentials on the system and tried them first.",By testing whether authentication was needed.,"Praying for default credentials being used. If not, brute force the login using credentials we had managed to access during the penetration test, with the hope that some employee with access to the system has reused the same credentials on different systems.",The first option (trying default) was much faster and easier so it was obvious that I should try that out first!,Path of Least Resistance.,The target state was very vulnerable.,"Intel gathering through scanning for hosts, ports, services and vulnerabilities.
How to pentest an industrial system where we are not allowed to cause crashes.
How to write pentest reports (in a short amount of time)!

",I practiced Nmap commands. Our team had a one week intense training in pentesting.,I participated in the training provided by our coach.,1,Unknown
R_s5mlilS0NBwhKrn,"Industrial systems were not separated from ""users"" part of the network and that was the main problem within the environment.",Mainly information from scans and by consulting with employees.,We tried to imagine how and how fast we cound make serious damage to the environment.,"We were able to get kerberos golden ticket, so we could access any machine on the network. We were also able to turn off some of the industrial systems.",Based on the fact that we cold harm some components.,The easier the better.,Get as much access as we can and evaluate risks of having industrial systems in the network.,Communication with the client before any potentional damage was made.,Not much I would say. Just some information gathering phase and continuous information sharing between team members + helping each other and consulting steps.,,1,Unknown
R_Dkp5MSA3cBM8drj,,,,,,,,,,,,
R_1dyjU1DDeapf66t,Secure password policy being up on one of the sites and being able to access a list of users via outdated software meaning we could use password spraying to get domain  admin,Researching the use of various tools and how the protocol worked in general ,,,,,,,,,1,
R_1F3AEohAYNkv1kX,chat application where employees openly shared their passwords,,,,,,,,,,2,
R_2TpLNBcdw8hS6og,,,,,,,,,,,,
R_2XmKyDygCs1wtUn,,,,,,,,,,,1,
R_20sLLGARngreX05,AD domain controller no account lockout policy for administrator account,"Could not communicate with 5.0 or 10.0 subnets from the 254.0 subnet, had to pivot through 1.0 subnet","packets to subnets were dropped, but dns revealed that hosts were there",access system in 1.0 subnet and communicate to other two subnets,,,,,,,1,
R_3oC19jkERZEpGdC,The exploitation of the windows NT box through the jump box.,We identified it through a scan an company chats,Scans,To exploit it via password or through a known vulnerability or through the web portal ,The likelihood for the service to be shut down form the exploit,Based on the Intel in chats,Up and running a websever ,What if the web server goes down or the host is unresponsive ,Compiled exploits and then drafted emails to the company in case it went down.,"Exploited it, well tried.",1,Unknown
R_25LWnmtzZ7TeRlL,,,"Using tools such as NMap, etc.",,,,,,,,1,
R_2ts33wFC5ysT3L7,Password cracking rocketchat,It was possible to bruteforce without the site locking out,,Bruteforce passwords,,,It could be compromised,Password guessing and pivoting,Password guessing and pivoting,Password guessing and pivoting,1,
R_5mrz5fsJmPbj4I1,Lack of proper network segmentation.,"We were prepared to run into this security issue again, despite the initial ALCs preventing our testing host from accessing sensitive network components and assurances that the NGPEW team had made improvements. We wanted to verify this immediately after gaining a pivot point on the network.",Running network scans from pivot point.,"Further testing/probing of network devices, connecting to other hosts, (potentially) attempting to test ICS connection protocols.","Considered the fragility and impact of PLCs in an ICS environment, considered safer/low-impact scanning options. ","Based on the lowest amount of impact, with input from NGPEW stakeholders.","Having identified high-severity vulnerabilities on the network, identify steps to remediate. Maintain courteous business relationship with stakeholders. Communicate stakes, impact and risk of vulnerable systems to business contacts.","Testing network equipment, encountering unfamiliar PLC/ICS interfaces, approaching sensitive systems with care and safety in mind.","Communication protocols between team members and with business contacts, preparing scanning tools that skip over protocols on sensitive ICS ports.","Identified weaknesses in components and system architecture, composed report and presentation for NGPEW stakeholders.",1,Unknown
R_e2QPHw5RqxOXcJP,,,,,,,,,,,1,
R_vBJTvF1CSTMiYqB,Windows NT 4.0 SP3 server was discovered,Nmap scans revealed eveything,Nmap scan,Be careful not to crash it,Used common sense,Exploit-db,Pwned,"Scanning, setting up the jump box, exploiting",Finding an exploit,Found the exploit and owned the box,1,Unknown
R_1ezB7I8mCyWZiJS,Testing the web apps,I identify a problem when it have to do with sensitive data,The system state was ok,To enumerate it,,,,,,,2,
R_3m4wyGasFPxFs5m,Bruteforce password of ad user,Manual probing and then using automated tools,By the lockout policy in place,To manually probe or using automated tools,My the effectiveness of the method and possible complications ,Time efficiency ,Operational,Careful probing of sensitive hosts,Network scan,Protocol discovery scan,1,Unknown
R_qWpWxAS6wdrmRpL,When we had access to RocketChat we saw discussions of passwords being used which we tested against other systems to get further access into the network.,It was a situation that likely employees would not expect. They may find it intrusive to have the messages being read. We identified the situation by thoroughly reading the RocketChat logs. We also checked multiple accounts to try and recover private chat messages.,,"We could have written messages to social engineer the employees. There were different options for recording the chat history, but we chose to take screenshots of only security-related messages.",We checked our scope to see what was allowed.,We chose an option that gave us the most information within the ROEs.,,,,,1,Unknown
R_24COhzvUvkoJ5eF,open vnc with default user being local admin ,a lot of our previous findings were remediated,network segmentation protected a lot of the sensitive and vulnerable systems ,ssh to another host that could be used to access the other subnets,based on business impact,experience/talking over with team,very secure due to prior remediation,reconnaissance and exploitation ,"nmap, dirb, fping",we ran the above mentioned tools to understand what systems were on the network in order to plan,1,Unknown
R_3ncTz7JERpfNIia,"For one of the servers, we were able to login as root over ssh due to the password being a slight deviation from the original passwords found on the windows boxes. ",the problem was due to reuse of passwords. ,i loged in,Full control over the server,I analysed how impactful the consequences might be to the core functionality of the company and determined how easy it was the exploit the system,,,,,,1,
R_4NI8RXgtydNyWlj,Unauthenticated VNC connection to HMI,We were checking if the problem was remediated from regionals. It was put onto a new subnet but the issue still remained,Various scans showed the HMI was up and we knew it was up from regionals,The HMI had an application called unified systems which read in the state of various dam levels etc. the interface was somewhat easy to understand and it seemed apparent that we had the option to affect the system state with various buttons,"Knowing the HMI was reading sensitive data from even more sensitive PLCs, we evaluated the option of changing the values to be a bad idea. We consulted with the client and decided not to change anything",We could not get a proof of concept of the vulnerability because the client deemed that it was too critical to touch,The target state of the system would be to have access to all hosts with documentation of how it was done and how it can be fixed,"Multiple networks, scada and PLC devices that we don't really learn about in school, NERC CIP regulations and requirements","Research before the competition, training and practice team sessions",Team practices every week except during Christmas ,1,Unknown
R_1ooOQmTpTEpbmHi,Password reuse,"Environment seemed broken in some places, initial access without security box was a very specific goat path that prevented further movement into the environment. it sucked to be stuck there the entire first day, ruined competition on that day",the usual,"the initial network didn’t have many options, further actions opened with the next network",Denial of service to users and services,same methos,"attack paths sucked for the first part of the competition, very specific and required information not known to have working path forward",The waste of time on friday. ,,,1,Unknown
R_1ND1m99tyoaJTgT,discovery of port 502 access to the ics network,"nmap, reading dns records, read only queries, client communication",,"do nothing, read queries, read/write queries, bad packet flooding","past experience, prior lab tests, gut",minimize risk to client,,,,"initially no action, then read only queries",2,Unknown
R_phEILoypO8PlGCd,We discovered PLCs listening on MOD on TCP,Observed where the PLCs were accessible from the network and what ports are listening,Observing the data on the HMI and reading directly over MODBUS,Connect over modbus and issue commands to read to/write from coils,Looked at what the PLCs were likely controlling and the safety implications of a malfunction,We choose to observe the system because we felt the consequences of a malfunction were too high and we didn't have a sufficient understanding of the system,Gain access to sensitive industrial control equipment ,"Interacting with PLCs, Hamid, understanding the typical network structure of an industrial environment","Locate and gain access to PLCs, figure out what protocol is in use",Gain a foothold on corporate infrastructure then pivot to analyze ICS systems,1,Unknown
R_3fZWl86WH2ERhnd,Gaining the domain admin credential was a significant situation as I was responsible for windows audits it was pretty important for me,"Once I gained access to the DC I knew I had to get information to compromise other hosts, so I thought of getting the tgt, but then realized that remote access on other hosts was not working so I looked for passwords of the other users on the domain controller and found them in plain text or hashed format","Mostly from the nmap scans, at the beginning each of us did a unique scan to map the network and once we knew our targets I went on to do another scan, because mostly I like to see my nmap results on the terminal instead of a document ",First thing was to not break anything because it was the domain controller and any downtime on it will be really bad so we were careful to not drop any malicious files and searched for information from that system ,From the role of the host on the network we identified what we can and cannot do to test the systems,Once we mapped the system role and state our options were small and we went with most safest option first,,,,,1,Unknown
R_3fCaeU1cSCqEjtI,"Doing an NMAP scan through a network pivot, we found an open java debug port that led to an RCE.","We conducted further enumeration of the system in question, and identified that it was running a java-based web service, confirming our initial observation of a debug port.","We exploited it and got a shell into the system. By reading through logs, we found that the system was actually not yet configured and still under development.","We could try to find database credentials as we had access to the mysql database on the host system, or we could attemp to escape the container.","As this was a development server, we simply attempted all routes because there were not many consequences involved.",we tried everything.,"The systems will be in a working state, and we want to keep them that way.","Network pivoting, PLC and modbus enumeration","NMAP, web application scanners, lots of critical thinking","NMAP, web application scanners, network pivoting",2,Unknown
R_2aJmZGrgMEBKN3D,"Unauthenticated, unencrypted HMI Web application backend web server linked to PLCs","Lots of additional information was involved in piecing together the parts of the whole web application, nmap scans with modbus ports open on a subnet, redis, the HMI C# app and its decompiled source code, viewing the C# GUI on splashy","We asked because it was sensitive when it came to writing, but retrieving values was just a simple curl statement or visiting a url in the browser after knowing it was open via a scan",Unrestricted read and write access to the web server routes from anywhere inside the ngpew network,"Thought about the potential real world impact of the actions, and contacted and asked management about options","Based on what illustrated the most impact, but mostly based on the response from management","The whole system?  I don't understand these questions.  It was partially protected and upgraded, and partially wide open after an initial pivot.

","nmap scanning, knowing how to evaluate http, decompiling c#, understanding code, understanding how to interface with management professionally

You should rewrite these questions and clarify what you're actually after.",We practiced twice a week hacking stuff on hackthebox,,1,Unknown
R_ehbhgQiImmT3OPT,Few of the hosts in the ACL’d part of the network had outdated systems and services,Our team ran the nmap scans to figure out the versions of those services and systems,,Try different exploit based on the officially documented vulnerabilities. Ask the clients before moving forward with carrying out the tests for more vulnerable and old systems,The team talked amongst ourselves and asked each other’s opinions before proceeding  with an option,Talked to the client and if they gave a go then made sure that the exploit will not result in downtime on client’s side. ,,,,,1,Unknown
R_3lGmwDXPG1Q6rdk,Encountering so many pivot areas but could only execute a couple ,"SMB was vulnerable, but inaccessible. Looked up alternatives. ",The state was persistent ,Keep flooding requests or find something else,One could cause outrages and the other could waste time ,The risk to outrage was too high,Locked down,Pivot methods,Research,Research alternatives,2,Unknown
R_We2UKw79NZWZttv,Control over the dam and its control panel was not properly secured. Open vnc server running control software,Reverse engineer the app to figure out how dangerous the buttons were,The we shouldn't mess with values in the control panel,Suggest password protection and air gap,,We suggested all options,100% uptime for all critical systems,Possible crashes and service disruption,,,1,Unknown
R_1jqCDHCJAX1Qyfu,,,,,,,,,,,,
R_YXn18jVA0B1xweB,,,,,,,,,,,,
R_21mmEUhgaBJXrWc,,,,,,,,,,,,
R_x9mfQCALqt3tgzf,,,,,,,,,,,,
R_rjyAnMJYxsGnN05,,,,,,,,,,,,
R_31QskZ0NjMssfSC,,,,,,,,,,,,
R_e3haN35G1WTxQSB,,,,,,,,,,,,
R_2v2HPnJFlkfH2eN,,,,,,,,,,,,
R_2QlzLSBHmW5h4jO,,,,,,,,,,,,
R_3QPHu1IcpPWWYyB,,,,,,,,,,,1,
R_2Cxe7bxkW2PK3Ua,,,,,,,,,,,,
R_3jYT3siAlQxBZJA,,,,,,,,,,,,
R_3HHosWgaRc42p9J,Outside network was successfully segmented off from two subnets,,,,,,,,,,1,
R_29OL7smHWLeItXj,"In regionals, we received a call because the dams were flooding.",We identified a problem because we received a phone call about it. We looked at our scan history to understand what went wrong.,,,,,,,,,1,
R_1gAAj2XMSUaMa08,,,,,,,,,,,,
R_1r1eSMoauBL0G7p,,,,,,,,,,,2,
R_1cXMNiJ9GahLSfL,,,,,,,,,,,1,
R_erlNOxQ9kIjQ6MF,,,,,,,,,,,1,
R_2cb86ulowe4oD8B,,,,,,,,,,,2,
R_3kc4QrydctmDdGd,,,,,,,,,,,1,
R_23sSWLKBYDHMqKl,,,,,,,,,,,1,
R_2w5GcEyqrM0IHpx,,,,,,,,,,,1,
R_3O1VDnk7TDha1Rg,Password sync,Doing testing and research if a problem may arise. ,"Sensitivity, permissions, security policies, patches, etc.",Administrator privs,,,,,,,1,
R_3iL38BkFFYTYzfk,Common weak passwords password2 was on 6 systems,That’s simpler some times makes is easier,State was under high risk of a brute force attack,,By consulting the rest of the team and asking their opinions,Consulted with team and found the correct way,,,,,1,Unknown
R_3fvgXCCju0OF8T2,Found workstations and active directory within our reach. After recon we devised a plan to brute force the accounts (which were successful) then lead to the team get into the internal network and pivot to more critical systems,Observed that the 1.60 linux machine was highly secure with recent patches which lead to realize that our attack vector had to be the windows boxes. ,,,,,,,,,1,
R_XMRFF8oEW6dOWPL,"This was a power and water company which contained workstations, servers, and PLCs ","Focused on enumeration, and converting technical information within the context of the power/water company. ",Enumerating various aspect of the system and gaining data,,,,,,,,1,
R_r25IKqccXbnxq5b,,,,,,,,,,,,
R_9v2H8j2LsZsVIsx,,,,,,,,,,,,
R_2dniKCiT1iuRTEN,Exposure of modbus devices.,We performed targeted scans for specific ports and protocols.,modbusclient and other utilities to read data from the device. Accessing the interface from Splashy. ,Limited due to client defined restrictions. Read-only.,Actions could prove to be life-threatening. Clear intentions not to disrupt the systems.,Research.,,,,,1,Unknown
R_WDxEKx6DzNNVBuN,"me and the testers found a old version of IIS server, I tried to upload a text file where I received a successful response, I contacted my team to simulate a file upload  following file execution on the server.",,,,,,,,,,1,
R_21ddFNhmZs0NSQn,,,,,,,,,,,,
R_214a2d7vz1woWes,,,,,,,,,,,1,
R_0St2eu8BIKZ20ox,,,,,,,,,,,1,
R_cAPZCcaehHkEXaV,,,,,,,,,,,1,
R_pc3DsqsdhhfVBBv,,,,,,,,,,,,
R_3QKlucMrKpQluXG,"Lack of access control on PLC allowed unauthorized access that could then lead to an attacker compromising the confidentiality, integrity, or availability of the system.",,,,,,,,,,1,
R_uyajsLfQZKtBHYl,,,,,,,,,,,1,
R_10DauoV5DBczK8G,The API code leaked online,,,,,,,,,,1,
R_YRfXIFGmuueS3Tz,formations data leaks,I downloaded them,this is fine,yes,yes,of course,,,,,1,
R_334ivSNz2Vvdyrb,slqi into rce,"recon with port knocking, testing common issues, got one",by experience,,,,,,,,1,
R_1Cj8AhFupyMDAO9,Network discovery ,Public code exposure ,,Inform the client ,,Talk with the team,Production Environnement ,"Discovery, OSINT ",,,1,
R_3stgaV7M74oSBE8,,the system was slow ,good,improve the speed,scan,,,,,,2,
R_1K1hFWIwd4oexyL,,,,,,,,,,,1,
R_b4rEDGy7OZXt9h7,"We found a seemingly default installation of apache Tomcat, so we started checking it for vulnerabilities.","First we tried to gather as much info as possible to aid planning the next steps. This means how vulnerable the system was to failure, if we had submitted tickets to get more information about the criticality of the particular device.",,Disrupt it or leave it as it was.,Intuitive moralism.,We did quick briefs and brainstormings.,The same as at the beginning + a report of security issues.,,,,1,
R_z3arOpfLGggZG6Z,,,scanning,remote access,what does this question even mean,,,,,,1,
R_1QtMdvwPkFKITYw,"A specific security issue here was when something was available without any login, and it helped us to get an unpriviledged shell on the machine. The specific situation was then that it was difficult to perform privilege elevation to fully compromise the system.","The situation was firstly identified by doing reconing and automatic scanning. Then, when you dig around the problem, it's a lot of Googling to identify what's the problem and specifically what you can do about it.","When something is told to you by scanning/reconing tools, you verify manually that it's actually true and not a false positive. So it's about testing if it's the service and version it's supposed to be, if vulnerabilities can really be exploited (by finding exploits on internet or crafting them yourself), etc",We took control of the database and were able to execute commands / read or write files (with unpriviledged permissions though).,"Preferably test what you're going to do in a sandbox environment first. If you're gonna run code you didn't write yourself, read it and ensure it's doing correctly what it's going to do",,,,,,1,
R_22GqhOaPgawEMQB, Multi-factor authentication was not available for any of Le Bonbon Croissant’s core services. Threat actors can use credentials to access services across the network without any further authentication if credentials were compromised during an assault. MIDDLE-EAST-7 advises that business-critical services use some type of Multi- Factor Authentication right away.,"Changing local Administrator passwords in Windows workstations and securely handle sensitive data such as passwords and SSNs across Le Bonbon Croissant systems are our two  most essential short-term recommendations. While this is not an easy step to make, it is critical for Le Bonbon Croissant's long-term survival. The following are our additional short-term recommendations: On Windows workstations, change local Administrator passwords to longer, more challenging passwords that aren't reused. Using hashing and encryption methods, securely manage personal information such as SSNs and passwords in databases and other services. Unauthenticated access to services like PostgreSQL should be disabled.","During the examination, some solid security controls were uncovered. These precautions should be monitored on a regular basis in order to keep Le Bonbon Croissant safe. The following conclusions have been made about posture: Password Authentication for SSH is enabled: During this examination, no SSH instances that supported password authentication were found. Le Bonbon Croissant has effectively eliminated password brute forcing as a danger to SSH access systems by adding this control.","During the examination, some solid security controls were uncovered. These precautions should be monitored on a regular basis in order to keep Le Bonbon Croissant safe. The following conclusions have been made about posture like ",Several low severity issues were also discovered which mainly pertain to minor server misconfigurations and unnecessary information exposure.,PostgreSQL does not support password authentication by default.,In threat,The scaning ,Nmap,Make a full scan to find all open ports ,1,
R_BRKdtLck8u6IVKF,,,,,,,,,,,1,
R_DAJIJwvDMhO9g41,postgres was pwned and we had to priv esc,we didn't have enough knowledge on some access controls,if we could interact with it ,"scan, attack, or give up",,,Secure with key weaknesses,Scanning and attack,,,1,
R_O0slBWy7RcO7EDT,The warehouse malfunctioning,,Not applicable,Was unable to verify,,,Target state of system: hardened after a recent cyber attack,"Windows, reporting",Scanning for hosts (weak access points),See above. ,1,
R_Bti0AiJybowPuAp,,,,,,,,,,,1,
